Name,Price,Image,Link
"Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS / Windows 10","Rs. 8,899",https://img.drz.lazcdn.com/static/pk/p/3a417f0b9a23ddad2b2f315dcb2eb311.jpg_200x200q80.avif,https://www.daraz.pk/products/4gb-4gb-16gb-ssd-hdmi-wifi-os-10-i434350899.html
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen - Daraz Like New Laptops","Rs. 7,914",https://img.drz.lazcdn.com/static/pk/p/7528aef82be411f7eb921b86a7aaedd4.jpg_200x200q80.avif,https://www.daraz.pk/products/hp-11-g6-ee-air-4gb-ddr4-air-16gb-ssd-emmc-116-i492080752.html
"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","Rs. 7,200",https://img.drz.lazcdn.com/static/pk/p/614d1368b39f256ad7c7f174c9b3e6e0.jpg_200x200q80.avif,https://www.daraz.pk/products/samsung-chromebook-500c-celeron-processor-2gb-ram-16gb-ssd-116-screen-playstore-supported-i524222885.html
HP Chromebook 11 G4 | 16GB Storage | 2GB RAM | 11.6″ Display | Playstore Supported Chromebook | Black - Daraz Like New Laptops,"Rs. 9,499",https://img.drz.lazcdn.com/static/pk/p/cbc9b17018639eff585e39062e1c8a4d.png_200x200q80.avif,https://www.daraz.pk/products/hp-chromebook-11-g4-16gb-storage-2gb-ram-116-display-playstore-supported-chromebook-black-daraz-like-new-laptops-i468636960.html
Daraz Like New Laptops - Lenovo Chromebook 300E/500E X360 TOUCH SCREEN - 2027 UPDATE - Intel Celeron 4GB RAM 32GB Chrome OS,"Rs. 13,499",https://img.drz.lazcdn.com/static/pk/p/370ec7e96fc482386820400244e04766.jpg_200x200q80.avif,https://www.daraz.pk/products/300e-x360-2027-4gb-32gb-os-i583998700.html
HP EliteBook 840 G7 Intel® Core™ i5 10310U 10th Generation 16GB RAM 256GB SSD 14” FHD Win 11 Dos Silver - Daraz Like New Laptops,"Rs. 84,999",https://img.drz.lazcdn.com/static/pk/p/41558797caabb78329382fba8d87fe16.jpg_200x200q80.avif,https://www.daraz.pk/products/hp-elitebook-840-g7-intel-core-i5-10310u-10th-generation-16gb-ram-256gb-ssd-14-fhd-win-11-dos-silver-daraz-like-new-laptops-i609274258.html
"Lenovo Chromebook N23 Laptop | Celeron | 4GB RAM | 16GB SSD | 11.6""","Rs. 7,799",https://img.drz.lazcdn.com/static/pk/p/0c18107223fbe2be3f6d81b6f274b280.jpg_200x200q80.avif,https://www.daraz.pk/products/lenovo-chromebook-n23-laptop-celeron-4gb-ram-16gb-ssd-116-i524222524.html
"Lenovo Chromebook N23 Laptop windows 10| Celeron | 4GB RAM | 16GB SSD | 11.6"" Screen | Windows Converted","Rs. 7,999",https://img.drz.lazcdn.com/static/pk/p/3f96a3efaf95f1f7087b8318730ab938.jpg_200x200q80.avif,https://www.daraz.pk/products/lenovo-chromebook-n23-laptop-windows-10-celeron-4gb-ram-16gb-ssd-116-screen-windows-converted-i828950934.html
Daraz Like New Laptops - Lenovo Chromebook 100E Intel Celeron 4GB RAM 16GB Chrome OS,"Rs. 9,499",https://img.drz.lazcdn.com/static/pk/p/a95504a509f81e49b39aebfa2f63d8d6.jpg_200x200q80.avif,https://www.daraz.pk/products/100e-4gb-16gb-os-i454369988.html
"Lenovo Chromebook N42 Laptop windows 10 | Celeron | 4GB RAM | 16GB SSD | 14"" Screen | Windows Converted","Rs. 12,349",https://img.drz.lazcdn.com/static/pk/p/0c2aa5bac7d8953f3b814e1ef733a00c.jpg_200x200q80.avif,https://www.daraz.pk/products/lenovo-chromebook-n42-laptop-windows-10-celeron-4gb-ram-16gb-ssd-14-screen-windows-converted-i896443408.html
