title,image,rating,reviews_count,price
"Universe 4 Pack 3 in 1 Portable Charger – 3300 Mah 2.4A High-Speed Fast Charging Compatible with iPhone and Android Lightning, Type C, Micro-USB (Black/White/Pink/Blue)",https://m.media-amazon.com/images/I/31-WMm7uR5L._AC_UY218_.jpg,5.0 out of 5 stars,1,
UNBREAKcable,https://m.media-amazon.com/images/I/61GuuTQUNSL._AC_UY218_.jpg,4.3 out of 5 stars,"41,831",$16.99
Samsung,https://m.media-amazon.com/images/I/81NCJilmjzL._AC_UY218_.jpg,4.0 out of 5 stars,42,
"Apple iPhone 15 Pro Max, 512GB, White Titanium - GSM Carriers (Renewed Premium)",https://m.media-amazon.com/images/I/31Solq9-fsL._AC_UY218_.jpg,,,
"Samsung Galaxy Note 8, 64GB, Orchid Gray - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/41wsv80TZ2L._AC_UY218_.jpg,4.3 out of 5 stars,"6,786",
"Apple iPhone 14 Pro, 512GB, Gold for TracFone (Renewed)",https://m.media-amazon.com/images/I/419mY98TKdL._AC_UY218_.jpg,,,
"Apple iPhone XS Max, 64GB, Space Gray for AT&T (Renewed)",https://m.media-amazon.com/images/I/61zUn+1p2uL._AC_UY218_.jpg,4.2 out of 5 stars,205,$205.00
"Apple iPhone 12 Mini 5G, US Version, 128GB, White for AT&T (Renewed Premium)",https://m.media-amazon.com/images/I/41WP3kwYyPL._AC_UY218_.jpg,,,
"Apple iPhone XS Max, 512GB, Space Gray - For Verizon (Renewed)",https://m.media-amazon.com/images/I/81nSsCFeiTL._AC_UY218_.jpg,,,
"Apple iPhone Xs Max, 512GB, Space Gray - for Verizon (Renewed)",https://m.media-amazon.com/images/I/51zb1MhP2aL._AC_UY218_.jpg,4.0 out of 5 stars,12,
OnePlus,https://m.media-amazon.com/images/I/610qFsdenLL._AC_UY218_.jpg,4.3 out of 5 stars,"1,371",$249.99
"Apple iPhone 15, 128GB, Green - Boost Mobile (Renewed Premium)",https://m.media-amazon.com/images/I/516x+FfzGIL._AC_UY218_.jpg,,,
"Apple iPhone 11 Pro, 256GB, Midnight Green - GSM Unlocked (Renewed Premium)",https://m.media-amazon.com/images/I/81AaNJqE+wS._AC_UY218_.jpg,4.5 out of 5 stars,2,
Samsung,https://m.media-amazon.com/images/I/61Q7Lu07T9L._AC_UY218_.jpg,4.4 out of 5 stars,"8,627",
Google,https://m.media-amazon.com/images/I/61jNlUYC3mL._AC_UY218_.jpg,4.3 out of 5 stars,384,$499.00
"Apple iPhone XS Max, US Version, 256GB, Space Gray - T-Mobile (Renewed)",https://m.media-amazon.com/images/I/81nSsCFeiTL._AC_UY218_.jpg,4.0 out of 5 stars,50,
"15ProMax 5G Unlocked Smartphone,12GB+512GB Fully Cell Phone for Android 14, 6.8"" Unlocked Cell Phone, 6800mAh, 48MP+108MP Dual Camera/Dual SIM/Fingerprint Lock/Face (Titanium Blue)",https://m.media-amazon.com/images/I/61L0LShB9tL._AC_UY218_.jpg,3.1 out of 5 stars,7,$158.88
Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),https://m.media-amazon.com/images/I/61l9R2X+WNL._AC_UY218_.jpg,4.0 out of 5 stars,"1,532",$175.00
